,term,entity_id,text_1,text_2,text_3,text_4,text_5
255,etnische groepen,Q2636673,aljama,,stad exclusief bezet door Moren of Joden of wijk van de christelijke stad bezet door deze etnische groepen in de Middeleeuwen,['woonplaats'],['migrantenwijk']
256,etnische groepen,Q14411133,Sjabloon:Navigatie etnische groepen Roemenië,,['Wikimedia-sjabloon'],['Wikimedia-navigatiesjabloon'],[]
257,etnische groepen,Q12630766,Etnische groepen van Urdu,,['etnische groep'],['etnische groep'],[]
258,gay,Q592,gay,['homoseksueel persoon'],['synoniem voor homosexueel'],"['seksuele geaardheid', 'seksuele minderheid']","['LGBTI', 'homoseksualiteit']"
259,gay,Q104969456,homoseksuele man,"['homoseksueel', 'homo', 'gay']",['mannen die zich aangetrokken voelen tot andere mannen'],['seksuele geaardheid'],['mannelijke mens']
260,gay,Q1383254,Ex-ex-gay,,,['seksuele geaardheid'],['niet-heteroseksueel']
261,gay,Q12012782,docking,"['gay docking', 'cock docking']",['seksuele handeling waarbij een man zijn eikel met teruggeslagen voorhuid onder de voorhuid van een andere man plaatst'],"['menselijke seksuele activiteit', 'homoseksuele handelingen']","['frottage', 'aftrekken']"
262,gay,Q1496534,Gay,['Gay (voornaam)'],['mannelijke voornaam'],['genderneutrale voornaam'],[]
264,gay,Q55186653,Mister Gay Netherlands,,['schoonheidswedstrijd voor homoseksuele mannen'],['onderscheiding'],[]
265,gay,Q111748392,Gay,,['vrouwelijke voornaam'],['vrouwelijke voornaam'],[]
266,gay,Q189758,Marvin Gaye,"['Marvin P. Gaye', 'Marvin Pentz Gay, Jr.']",['Amerikaans zanger'],['mens'],[]
267,gay,Q958953,Jean-Baptiste Sylvère Gaye de Martignac,"['Jean-Baptiste Sylvere Gaye de Martignac', 'Jean Baptiste Gay de Martignac', 'Conde de Martignac']",['Frans politicus (1778-1832)'],['mens'],[]
268,gay,Q3723183,Elisabeth Gay,,['personage'],"['stripfiguur', 'fictief mens']",[]
269,gaye,Q7405239,Sally Newmarch,['Sally Gaye Newmarch'],['roeister uit Australië'],['mens'],[]
270,gaye,Q7573860,Monster Chetwynd,"['Spartacus Chetwynd', 'Lali Chetwynd', 'Alalia Chetwynd', 'Marvin Gaye Chetwynd']",['kunstenaar'],['mens'],[]
271,gaye,Q28529539,Angela Walker,['Angela Gaye Walker'],,['mens'],[]
