,term,URI,aat_bow,cs_scopeNote_tfidf
101,indians,300017557,"['malecite', 'maine', 'malécite', 'malisit', 'passamaquoddy', 'maliseet', 'wabanaki', 'abnaki', 'brunswick', 'maliseets', 'saint', 'micmac', 'john', 'etchemin', 'wolastoqiyik', 'indian', 'penobscot', 'confederation', 'alliance']",0.697
102,indians,300252485,"['plain', 'buffalo', 'indian', 'river', 'obtain', 'watershed', 'drained', 'saskatchewan', 'grassland', 'mississippi', 'day', 'present', 'reliable']",0.736
103,indians,300387114,"['prior', 'culture', 'general', 'colonist', 'america', 'paleo', 'arrival', 'generally', 'refer', 'american', 'european', 'ancient']",0.909
104,indians,300017745,"['akimel', 'hohokam', 'river', 'year', 'pima', 'hunting', 'jackrabbit', 'failure', 'subsistence', 'gathering', 'native', 'odham', 'traditionally', 'american', 'people']",0.857
105,indians,300191684,"['used', 'sewan', 'money', 'shell', 'indian', 'peag', 'wampumpeag', 'wampum', 'threaded', 'made', 'bead', 'north', 'american', 'seawan']",0.678
106,indians,300017991,"['indian', 'related', 'extinct', 'páez', 'paes', 'closely', 'speak', 'colombia', 'coconuco', 'highland', 'pijao', 'chibchan']",0.838
107,indians,300017580,"['indian', 'style', 'lake', 'existed', 'washoe', 'meaning', 'culture', 'nevada', 'estimated', 'basin', 'slope', 'people', 'adjacent', 'home', 'sierra', 'tahoe', 'washo', 'language']",0.827
108,indians,300017559,"['style', 'mikmaq', 'malecite', 'maine', 'tribe', 'kmawi', 'simk', 'passamaquoddy', 'wabanaki', 'abnaki', 'porcupine', 'kmaw', 'culture', 'micmac', 'kmaq', 'indian', 'penobscot', 'confederation', 'lnu', 'alliance']",0.842
109,indians,300017559,"['style', 'mikmaq', 'malecite', 'maine', 'tribe', 'kmawi', 'simk', 'passamaquoddy', 'wabanaki', 'abnaki', 'porcupine', 'kmaw', 'culture', 'micmac', 'kmaq', 'indian', 'penobscot', 'confederation', 'lnu', 'alliance']",0.842
110,indians,300380227,"['seri', 'dumosa', 'prepared', 'coulteri', 'organic', 'sonora', 'guaiacum', 'face', 'blue', 'local', 'franseria']",0.669
111,indians,300251908,"['parfleshes', 'shield', 'characteristically', 'envelopelike', 'parflêches', 'dried', 'container', 'bison', 'packing', 'large', 'meat', 'parfleches', 'example', 'parflashes', 'parfleche']",0.671
112,indians,300435662,"['indian', 'style', 'recognized', 'houma', 'today', 'culture', 'american', 'native', 'louisiana', 'nation', 'people', 'united']",0.914
113,indians,300017744,"['tohono', 'name', 'arizona', 'hohokam', 'papago', 'sonora', 'desert', 'homeland', 'odham', 'tribe', 'official', 'people', 'sedentary']",0.722
114,indians,300017606,"['kaigani', 'alaskan', 'style', 'alaska', 'haida', 'artwork', 'culture', 'charlotte', 'prince', 'queen', 'island', 'wale']",0.681
115,indians,300265491,"['maryland', 'jersey', 'style', 'tidewater', 'today', 'algonkian', 'culture', 'lenni', 'lenape', 'conoy', 'delaware', 'nanticoke']",0.764
116,indians,300427816,"['make', 'pueblo', 'used', 'indian', 'kiva', 'suspended', 'sound', 'stone', 'bell', 'kivas', 'specifically', 'struck']",0.718
117,indians,300017665,"['missouria', 'missouri', 'indian']",0.564
118,indians,300265519,"['soldier', 'book', 'martial', 'ledger', 'trader', 'executed', 'drawing', 'representational', 'accomplishment', 'art', 'ruled']",0.705
119,indians,300017608,"['style', 'bella', 'artifact', 'referred', 'haeltzuk', 'nation', 'people', 'hiletsuk', 'larger', 'correct', 'heitsuk', 'describe', 'hailtsa', 'culture', 'inhabit', 'hailhzaqvla', 'indian', 'heiltsuk', 'heiltsuq']",0.916
120,indians,300017608,"['style', 'bella', 'artifact', 'referred', 'haeltzuk', 'nation', 'people', 'hiletsuk', 'larger', 'correct', 'heitsuk', 'describe', 'hailtsa', 'culture', 'inhabit', 'hailhzaqvla', 'indian', 'heiltsuk', 'heiltsuq']",0.916
121,indians,300017609,"['calapooya', 'indian', 'kalapooian', 'kalapuya', 'kalapuyan']",0.569
122,indians,300017609,"['calapooya', 'indian', 'kalapooian', 'kalapuya', 'kalapuyan']",0.569
123,indians,300017760,"['pueblo', 'currently', 'indian', 'new', 'speaking', 'group', 'tewa', 'mexico', 'centered', 'santa', 'tetsuge', 'tesuque']",0.806
124,indians,300249545,"['regard', 'building', 'plain', 'refer', 'various', 'structure', 'lodge', 'dwelling', 'use', 'specific', 'ritual', 'native', 'possible', 'american']",0.881
125,indians,300265493,"['brunswick', 'algonkian', 'belonged', 'passamaquoddy', 'maliseet', 'passamaquoddys', 'schoodic', 'micmac', 'croix', 'wabanaki', 'alliance']",0.55
126,indians,300017491,"['mackenzie', 'indian', 'style', 'etchao', 'enemy', 'culture', 'slave', 'etchareottine', 'slavey', 'raided', 'etchaottine', 'territory', 'tine', 'awokanak', 'chipewyan', 'canada']",0.791
127,indians,300017491,"['mackenzie', 'indian', 'style', 'etchao', 'enemy', 'culture', 'slave', 'etchareottine', 'slavey', 'raided', 'etchaottine', 'territory', 'tine', 'awokanak', 'chipewyan', 'canada']",0.791
128,indians,300435660,"['style', 'indian', 'live', 'missouria', 'culture', 'siouan', 'located', 'otoe', 'nebraska', 'missourias', 'tribe', 'chiwere', 'oklahoma', 'traditionally', 'spoke']",0.815
129,indians,300055999,"['aborigine', 'summoned', 'heard', 'chrisitian', 'acting', 'evil', 'shamanistic', 'lapp', 'shamanism', 'people', 'tungus']",0.698
130,indians,300311316,"['encomenderos', 'grant', 'permitted', 'invested', 'tribute', 'pay', 'commodity', 'encomendero', 'stated', 'encomederos', 'encomienda', 'instruction']",0.687
131,indians,300017512,"['traded', 'indian', 'aztecan', 'monache', 'numic', 'uto', 'yokuts', 'western', 'monachi', 'belt', 'mono', 'sierra', 'paiute']",0.619
132,indians,300017512,"['traded', 'indian', 'aztecan', 'monache', 'numic', 'uto', 'yokuts', 'western', 'monachi', 'belt', 'mono', 'sierra', 'paiute']",0.619
133,indians,300017512,"['traded', 'indian', 'aztecan', 'monache', 'numic', 'uto', 'yokuts', 'western', 'monachi', 'belt', 'mono', 'sierra', 'paiute']",0.619
134,indians,300017512,"['traded', 'indian', 'aztecan', 'monache', 'numic', 'uto', 'yokuts', 'western', 'monachi', 'belt', 'mono', 'sierra', 'paiute']",0.619
135,indians,300017614,"['cape', 'style', 'indian', 'culture', 'makah']",0.686
136,indians,300262967,"['pequoitt', 'indian', 'describe', 'new', 'produced', 'pequot', 'work', 'speaking', 'inhabit', 'pecoate', 'pequoit', 'algonquian', 'pequod', 'southern', 'tribe', 'england']",0.87
137,indians,300262967,"['pequoitt', 'indian', 'describe', 'new', 'produced', 'pequot', 'work', 'speaking', 'inhabit', 'pecoate', 'pequoit', 'algonquian', 'pequod', 'southern', 'tribe', 'england']",0.87
138,indians,300438506,"['comprise', 'style', 'occaneechi', 'indian', 'saponi', 'culture', 'eno', 'identity', 'siouan', 'band', 'descended', 'contact', 'nation', 'tribe', 'carolina']",0.868
139,indians,300017522,"['style', 'wiyot', 'indian', 'culture', 'wishosk', 'humboldt', 'bay']",0.673
140,indians,300017522,"['style', 'wiyot', 'indian', 'culture', 'wishosk', 'humboldt', 'bay']",0.673
