,term,hit_id,pwn_bow,cs_rm,cs_wm,cs_rm_wm
90,indian,adjutant_bird.n.01,"['large', 'bird', 'indian', 'gait', 'military', 'leptoptilus', 'adjutant', 'dubius', 'stork']",0.6479225795169895,0.6312421796750821,0.6497399304202929
91,indian,xenorhyncus.n.01,"['xenorhyncus', 'east', 'indian', 'australian', 'genus', 'stork']",0.650160318882158,0.6620256633895767,0.6485733626431945
92,indian,ortygan.n.01,"['bird', 'indian', 'east', 'several', 'ortygan']",0.6823658425266833,0.636620906400978,0.6728718761931441
93,indian,banded_palm_civet.n.01,"['hemigalus', 'east', 'indian', 'palm', 'banded', 'civet', 'hardwickii']",0.5569597204352955,0.5399451189016968,0.5487225227215466
94,indian,nyctimene.n.01,"['east', 'indian', 'genus', 'nyctimene', 'bat', 'fruit']",0.5124625606549733,0.5149563877852956,0.5128603918699006
95,indian,tea_tortrix.n.01,"['indian', 'tea', 'plant', 'small', 'coffee', 'infesting', 'coffearia', 'homona', 'tortrix', 'moth']",0.5136024482090897,0.5292867476221361,0.5156239411846999
96,indian,taguan.n.01,"['taguan', 'east', 'indian', 'flying', 'marmot', 'squirrel', 'petaurista', 'cat']",0.45075007386035393,0.44184143218913213,0.4439086187570731
97,indian,brahman.n.04,"['interbreeding', 'crossbreeding', 'breed', 'several', 'tick', 'especially', 'large', 'greyish', 'american', 'humped', 'evolved', 'chiefly', 'gulf', 'indicus', 'brahmin', 'used', 'cattle', 'heat', 'state', 'bos', 'indian', 'resistant', 'brahman', 'brahma']",0.8670863006292663,0.8308249102684379,0.8708405452463978
98,indian,blackbuck.n.01,"['cervicapra', 'back', 'indian', 'spiral', 'black', 'horn', 'antelope', 'blackbuck', 'dark', 'buck', 'common', 'antilope']",0.5584610249096809,0.5708364900963927,0.5622829728177794
99,indian,boselaphus.n.01,"['genus', 'boselaphus', 'indian', 'nilgai']",0.5501180453796636,0.5972050530559017,0.5534352507122163
