lemma,term,lang,wd_prefLabel,wd_aliases,wd_description,total
koelie,koelie,nl,1,0,0,1
volbloed,volbloeden,nl,0,0,0,0
volbloed,volbloed,nl,5,2,0,7
métis,metis,nl,20,2,8,30
métis,métis,nl,5,2,2,9
marron,marrons,nl,10,0,4,14
marron,marron,nl,18,2,11,31
kaffer,kaffers,nl,0,0,1,1
kaffer,kaffer,nl,2,0,0,2
allochtoon,allochtoons,nl,0,0,0,0
allochtoon,allochtoner,nl,0,0,0,0
allochtoon,allochtone,nl,2,0,0,2
allochtoon,allochtonere,nl,0,0,0,0
allochtoon,allochtoonst,nl,0,0,0,0
allochtoon,allochtoonste,nl,0,0,0,0
allochtoon,allochtonen,nl,1,0,0,1
allochtoon,allochtoon,nl,2,1,0,3
tweede wereld,tweede wereld,nl,2,1,0,3
wit,wits,nl,11,3,0,14
wit,witten,nl,39,16,256,311
wit,witte,nl,1107,338,287,1732
wit,witter,nl,9,3,12,24
wit,wittere,nl,0,0,1,1
wit,witst,nl,0,0,0,0
wit,witste,nl,1,0,0,1
wit,wit,nl,487,79,8952,9518
inheems,inheemsere,nl,0,0,0,0
inheems,inheemste,nl,0,0,0,0
inheems,inheemse,nl,36,10,32,78
inheems,inheemst,nl,0,0,0,0
inheems,inheemser,nl,0,0,0,0
inheems,inheems,nl,9,1,31,41
trans,transen,nl,0,0,0,0
trans,trans,nl,348,56,40,444
