,lemma,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
5335,black,black,300020118.0,"['corinthian', 'comply', 'style', 'characterized', 'monumentality', 'culture', 'composition', 'balance', 'figure', 'scale', 'imaginative', 'grandeur', 'distinctive', 'elsewhere', 'geometric', 'attic', 'black', 'different', 'refers', 'intentionally', 'necessarily', 'developed', 'athens', 'pottery', 'eventually', 'rest', 'greek', 'painted', 'became', 'mainland', 'chronologically', 'particularly', 'world', 'standard', 'attica']",0.9196682100769268,0.7856908005212859,0.9202524288774802
5624,black,black,300019470.0,"['animal', 'anatolia', 'stylized', 'ancient', 'isle', 'people', 'scandinavia', 'style', 'post', 'europe', 'roman', 'characterized', 'italy', 'culture', 'new', 'strong', 'sense', 'balance', 'vigorous', 'galatia', 'century', 'plant', 'northern', 'persisted', 'individual', 'contrast', 'second', 'coast', 'texture', 'keltic', 'black', 'vitality', 'early', 'european', 'refers', 'includes', 'indo', 'transylvania', 'southern', 'east', 'art', 'millennium', 'greece', 'celt', 'sea', 'ornament', 'reference', 'celtic', 'void', 'combined', 'associated', 'spread', 'human', 'british', 'form', 'spain', 'structure', 'first', 'bce', 'element']",0.9183499637555136,0.7755016024871954,0.9151910351503556
5286,black,black,300448122.0,"['earn', 'performance', 'people', 'business', 'united', 'part', 'century', 'extension', 'performer', 'mainstream', 'exclusive', 'offensive', 'black', 'african', 'example', 'widely', 'blackface', 'living', 'otherwise', 'exaggerated', 'state', 'venue', 'though', 'denied', 'mean', 'make', 'fashion', 'adopted', 'originally', 'associated', 'practice', 'skinned', 'appearance', 'imitate', 'show', 'intended', 'stereotyping', 'dark', 'mid', 'american', 'regarded', 'minstrel', 'particularly', 'racism', 'costume', 'person']",0.9179615291608136,0.8059698311458041,0.9177353470100664
3692,bombay,bombay,300228512.0,"['chawls', 'characteristic', 'industrial', 'city', 'late', 'bombay', 'house', 'indian', 'tenement', 'developed', 'originally', 'migrant', 'chawl', 'worker', 'century']",0.8011402372768004,0.8225733807667759,0.8481708862573729
3689,bombay,bombay,300417414.0,"['painting', 'emphasis', 'due', 'style', 'academy', 'bombay', 'western', 'colonial', 'key', 'bengal', 'beginning', 'popular', 'century', 'development', 'historical', 'established', 'increased', 'indian', 'especially', 'india', 'realism', 'portraiture', 'calcutta', 'raj', 'technique', 'exhibition', 'elite', 'art', 'salon', 'influence', 'subject', 'demand', 'realistic', 'british', 'mid', 'city', 'oil', 'rise', 'academic', 'school', 'patronage', 'high', 'remained']",0.7798765783768827,0.7870995622941851,0.8413201953151898
3694,bombay,bombay,300012439.0,"['rosewood', 'specie', 'bombay', 'premium', 'veneer', 'wood', 'decorative', 'dalbergia', 'tip', 'instrument', 'java', 'musical', 'indian', 'himalaya', 'india', 'blackwood', 'southern', 'east', 'latifolia', 'quality', 'furniture', 'make', 'native', 'used', 'indonesia', 'island', 'fragrant', 'panelling']",0.7506187696056191,0.6538382150595485,0.7787685892375648
3693,bombay,bombay,300375341.0,"['rosewood', 'specie', 'bark', 'bombay', 'tannin', 'tree', 'extracted', 'source', 'satisal', 'dalbergia', 'tip', 'palisandre', 'sitsal', 'java', 'indian', 'black', 'sonobrits', 'beete', 'himalaya', 'india', 'blackwood', 'sonokeling', 'southern', 'east', 'palisander', 'latifolia', 'native', 'hardwood', 'foliage', 'used', 'indonesia', 'island', 'medicinal', 'timber', 'purpose', 'fodder']",0.7487191139222892,0.6449138856734369,0.7719325674190282
3687,bombay,bombay,300264498.0,"['liturgical', 'tradition', 'bombay', 'strong', 'rank', 'dastur', 'team', 'day', 'especially', 'life', 'temple', 'refers', 'fire', 'akin', 'among', 'zoroastrian', 'christianity', 'assisted', 'bishop', 'associated', 'important', 'modern', 'oversee', 'priest', 'learning', 'mobeds', 'parsi', 'dasturs', 'destours', 'high']",0.7082866998819218,0.7689929358484558,0.7841815427321948
3690,bombay,bombay,300378963.0,"['mastic', 'bombay', 'collected', 'indian', 'india', 'resin']",0.6993977174660617,0.6029457069726858,0.7103241547895704
3688,bombay,bombay,300264320.0,"['people', 'also', 'whether', 'founded', 'freedom', 'sarasvati', 'kindness', 'novel', 'earliest', 'reform', 'samāj', 'book', 'conservative', 'vedabhashya', 'social', 'noble', 'diet', 'society', 'converting', 'remove', 'punjab', 'image', 'arya', 'ārya', 'faith', 'child', 'liberal', 'promotes', 'modern', 'sect', 'injustice', 'purity', 'original', 'vegetarianism', 'became', 'interpretation', 'pakistan', 'sikh', 'bombay', 'time', 'nationalistic', 'scripture', 'disagreed', 'especially', 'veda', 'meaningless', 'india', 'idea', 'form', 'worldwide', 'aryan', 'system', 'split', 'caste', 'moral', 'follower', 'introduced', 'advocate', 'samaj', 'partition', 'return', 'marriage', 'ritual', 'brahman', 'vision', 'religious', 'work', 'found', 'opposed', 'refers', 'striving', 'polygamy', 'conflict', 'organization', 'hindu', 'worship', 'movement', 'goodwill', 'dayananda', 'around', 'education', 'hinduism', 'traditional', 'muslim', 'contains']",0.6603355807468285,0.7818876697688935,0.7587722835538349
