,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
5158,blacks,300013138.0,"['coating', 'particle', 'known', 'degree', 'material', 'hiding', 'made', 'carbon', 'vary', 'soot', 'regularly', 'reinforcing', 'electronic', 'intensely', 'heated', 'usually', 'resistor', 'graphite', 'printing', 'size', 'shape', 'celsius', 'obtained', 'change', 'create', 'agent', 'high', 'spherical', 'crystalline', 'depending', 'process', 'black', 'combustion', 'circuit', 'widely', 'extremely', 'finely', 'pigment', 'among', 'protective', 'le', 'plastic', 'rubber', 'intensity', 'power', 'used', 'paint', 'product', 'form', 'paper', 'ink', 'period', 'partial', 'hydrocarbon', 'prolonged', 'amorphous', 'divided', 'color', 'produce', 'upon']",0.8066964159176141,0.6594557483069741,0.8029406530180405
5159,blacks,300264721.0,"['pigment', 'form', 'oven', 'obtained', 'benzol', 'carbon', 'bluer', 'chiefly', 'softer', 'gas', 'black', 'turn', 'coke', 'intense', 'benzene', 'produced']",0.7002286767035544,0.5960622287821966,0.7005846743219033
5156,blacks,300264719.0,"['degree', 'carbon', 'cell', 'also', 'softer', 'dry', 'absence', 'decomposition', 'preheated', 'intense', 'produced', 'celsius', 'industrial', 'requiring', 'gas', 'conductivity', 'black', 'air', 'acetylene', 'pigment', 'used', 'form', 'chamber', 'refractory', 'bluer', 'application', 'high', 'electrical']",0.7325378048403725,0.5709345640856911,0.7262095076711519
3692,bombay,300228512.0,"['chawls', 'characteristic', 'industrial', 'city', 'late', 'bombay', 'house', 'indian', 'tenement', 'developed', 'originally', 'migrant', 'chawl', 'worker', 'century']",0.8011402372768004,0.8225733807667759,0.8481708862573729
3689,bombay,300417414.0,"['painting', 'emphasis', 'due', 'style', 'academy', 'bombay', 'western', 'colonial', 'key', 'bengal', 'beginning', 'popular', 'century', 'development', 'historical', 'established', 'increased', 'indian', 'especially', 'india', 'realism', 'portraiture', 'calcutta', 'raj', 'technique', 'exhibition', 'elite', 'art', 'salon', 'influence', 'subject', 'demand', 'realistic', 'british', 'mid', 'city', 'oil', 'rise', 'academic', 'school', 'patronage', 'high', 'remained']",0.7798765783768827,0.7870995622941851,0.8413201953151898
3688,bombay,300264320.0,"['people', 'also', 'whether', 'founded', 'freedom', 'sarasvati', 'kindness', 'novel', 'earliest', 'reform', 'samāj', 'book', 'conservative', 'vedabhashya', 'social', 'noble', 'diet', 'society', 'converting', 'remove', 'punjab', 'image', 'arya', 'ārya', 'faith', 'child', 'liberal', 'promotes', 'modern', 'sect', 'injustice', 'purity', 'original', 'vegetarianism', 'became', 'interpretation', 'pakistan', 'sikh', 'bombay', 'time', 'nationalistic', 'scripture', 'disagreed', 'especially', 'veda', 'meaningless', 'india', 'idea', 'form', 'worldwide', 'aryan', 'system', 'split', 'caste', 'moral', 'follower', 'introduced', 'advocate', 'samaj', 'partition', 'return', 'marriage', 'ritual', 'brahman', 'vision', 'religious', 'work', 'found', 'opposed', 'refers', 'striving', 'polygamy', 'conflict', 'organization', 'hindu', 'worship', 'movement', 'goodwill', 'dayananda', 'around', 'education', 'hinduism', 'traditional', 'muslim', 'contains']",0.6603355807468285,0.7818876697688935,0.7587722835538349
3687,bombay,300264498.0,"['liturgical', 'tradition', 'bombay', 'strong', 'rank', 'dastur', 'team', 'day', 'especially', 'life', 'temple', 'refers', 'fire', 'akin', 'among', 'zoroastrian', 'christianity', 'assisted', 'bishop', 'associated', 'important', 'modern', 'oversee', 'priest', 'learning', 'mobeds', 'parsi', 'dasturs', 'destours', 'high']",0.7082866998819218,0.7689929358484558,0.7841815427321948
3694,bombay,300012439.0,"['rosewood', 'specie', 'bombay', 'premium', 'veneer', 'wood', 'decorative', 'dalbergia', 'tip', 'instrument', 'java', 'musical', 'indian', 'himalaya', 'india', 'blackwood', 'southern', 'east', 'latifolia', 'quality', 'furniture', 'make', 'native', 'used', 'indonesia', 'island', 'fragrant', 'panelling']",0.7506187696056191,0.6538382150595485,0.7787685892375648
3693,bombay,300375341.0,"['rosewood', 'specie', 'bark', 'bombay', 'tannin', 'tree', 'extracted', 'source', 'satisal', 'dalbergia', 'tip', 'palisandre', 'sitsal', 'java', 'indian', 'black', 'sonobrits', 'beete', 'himalaya', 'india', 'blackwood', 'sonokeling', 'southern', 'east', 'palisander', 'latifolia', 'native', 'hardwood', 'foliage', 'used', 'indonesia', 'island', 'medicinal', 'timber', 'purpose', 'fodder']",0.7487191139222892,0.6449138856734369,0.7719325674190282
3690,bombay,300378963.0,"['mastic', 'bombay', 'collected', 'indian', 'india', 'resin']",0.6993977174660617,0.6029457069726858,0.7103241547895704
